#0name	1country	2population	3latitude	4degrees	5N-S	6longitude	7degrees	8E-W
Kingston	Jamaica	576946	17.99°N	17.99	N	76.80°W	76.8	W
Baltimore	United States of America	613984	39.30°N	39.3	N	76.61°W	76.61	W
Cali	Colombia	2277956	3.44°N	3.44	N	76.52°W	76.52	W
Ottawa	Canada	945438	45.42°N	45.42	N	75.71°W	75.71	W
Medellin	Colombia	2420333	6.29°N	6.29	N	75.54°W	75.54	W
Cartagena	Colombia	943163	10.40°N	10.4	N	75.50°W	75.5	W
Ibague	Colombia	513671	4.45°N	4.45	N	75.24°W	75.24	W
Philadelphia	United States of America	1522647	40.01°N	40.01	N	75.13°W	75.13	W
Barranquilla	Colombia	1144301	10.96°N	10.96	N	74.80°W	74.8	W
Soledad	Colombia	617174	10.92°N	10.92	N	74.77°W	74.77	W
Soacha	Colombia	512328	4.58°N	4.58	N	74.22°W	74.22	W
Bogota	Colombia	7539293	4.63°N	4.63	N	74.09°W	74.09	W
New York	United States of America	8193718	40.67°N	40.67	N	73.94°W	73.94	W
Montreal	Canada	3433473	45.52°N	45.52	N	73.57°W	73.57	W
Bucaramanga	Colombia	526923	7.13°N	7.13	N	73.13°W	73.13	W
Cúcuta	Colombia	617932	7.88°N	7.88	N	72.51°W	72.51	W
Carrefour	Haiti	541511	18.53°N	18.53	N	72.42°W	72.42	W
Port-au-Prince	Haiti	807301	18.54°N	18.54	N	72.34°W	72.34	W
Maracaibo	Venezuela	2386461	10.73°N	10.73	N	71.66°W	71.66	W
Arequipa	Peru	959763	16.39°S	16.39	S	71.53°W	71.53	W
Quebec	Canada	703415	46.82°N	46.82	N	71.23°W	71.23	W
Boston	United States of America	620844	42.34°N	42.34	N	71.02°W	71.02	W
Santiago	Dominican Republic	696206	19.48°N	19.48	N	70.69°W	70.69	W
Santiago	Chile	5279190	33.46°S	33.46	S	70.64°W	70.64	W
Puente Alto	Chile	886132	33.61°S	33.61	S	70.57°W	70.57	W
Santo Domingo	Dominican Republic	2703480	18.48°N	18.48	N	69.91°W	69.91	W
Barquisimeto	Venezuela	1142992	10.05°N	10.05	N	69.30°W	69.3	W
Mendoza	Argentina	933601	32.89°S	32.89	S	68.83°W	68.83	W
El Alto	Bolivia	1079698	16.50°S	16.5	S	68.17°W	68.17	W
La Paz	Bolivia	912512	16.50°S	16.5	S	68.15°W	68.15	W
Valencia	Venezuela	1713589	10.23°N	10.23	N	67.98°W	67.98	W
Maracay	Venezuela	637372	10.33°N	10.33	N	67.47°W	67.47	W
Caracas	Venezuela	1999790	10.54°N	10.54	N	66.93°W	66.93	W
Petare	Venezuela	564946	10.52°N	10.52	N	66.83°W	66.83	W
Cochabamba	Bolivia	650038	17.38°S	17.38	S	66.17°W	66.17	W
Salta	Argentina	566732	24.79°S	24.79	S	65.41°W	65.41	W
Tucuman	Argentina	850106	26.83°S	26.83	S	65.22°W	65.22	W
Cordoba	Argentina	1529092	31.40°S	31.4	S	64.19°W	64.19	W
Santa Cruz	Bolivia	1835001	17.77°S	17.77	S	63.21°W	63.21	W
Maturin	Venezuela	506382	9.75°N	9.75	N	63.17°W	63.17	W
Ciudad Guayana	Venezuela	884657	8.37°N	8.37	N	62.62°W	62.62	W
Santa Fe	Argentina	518102	31.60°S	31.6	S	60.69°W	60.69	W
Rosario	Argentina	1230275	32.94°S	32.94	S	60.67°W	60.67	W
Manaus	Brazil	1887095	3.12°S	3.12	S	60.02°W	60.02	W
Buenos Aires	Argentina	13015875	34.61°S	34.61	S	58.37°W	58.37	W
La Plata	Argentina	769427	34.92°S	34.92	S	57.96°W	57.96	W
Asuncion	Paraguay	544309	25.30°S	25.3	S	57.63°W	57.63	W
Mar del Plata	Argentina	575133	38.00°S	38	S	57.58°W	57.58	W
Montevideo	Uruguay	1340535	34.87°S	34.87	S	56.17°W	56.17	W
Cuiaba	Brazil	554967	15.61°S	15.61	S	56.09°W	56.09	W
Campo Grande	Brazil	802192	20.45°S	20.45	S	54.63°W	54.63	W
Porto Alegre	Brazil	1423655	30.04°S	30.04	S	51.22°W	51.22	W
Londrina	Brazil	505933	23.30°S	23.3	S	51.18°W	51.18	W
Curitiba	Brazil	1786135	25.42°S	25.42	S	49.29°W	49.29	W
Goiania	Brazil	1340029	16.72°S	16.72	S	49.26°W	49.26	W
Joinville	Brazil	515845	26.32°S	26.32	S	48.84°W	48.84	W
Belem	Brazil	1406195	1.44°S	1.44	S	48.50°W	48.5	W
Uberlandia	Brazil	609999	18.90°S	18.9	S	48.28°W	48.28	W
Brasilia	Brazil	2593886	15.78°S	15.78	S	47.91°W	47.91	W
Ribeirao Preto	Brazil	623040	21.17°S	21.17	S	47.80°W	47.8	W
Sorocaba	Brazil	601479	23.49°S	23.49	S	47.47°W	47.47	W
Campinas	Brazil	1084069	22.91°S	22.91	S	47.08°W	47.08	W
Osasco	Brazil	670430	23.53°S	23.53	S	46.78°W	46.78	W
Sao Paulo	Brazil	11377417	23.53°S	23.53	S	46.63°W	46.63	W
Sao Bernardo do Campo	Brazil	766958	23.71°S	23.71	S	46.54°W	46.54	W
Santo Andre	Brazil	680599	23.65°S	23.65	S	46.53°W	46.53	W
Guarulhos	Brazil	1261177	23.46°S	23.46	S	46.49°W	46.49	W
Sao Jose dos Campos	Brazil	636588	23.20°S	23.2	S	45.88°W	45.88	W
Sao Luis	Brazil	984655	2.50°S	2.5	S	44.30°W	44.3	W
Contagem	Brazil	618605	19.91°S	19.91	S	44.10°W	44.1	W
Belo Horizonte	Brazil	2403366	19.92°S	19.92	S	43.94°W	43.94	W
Nova Iguacu	Brazil	773106	22.74°S	22.74	S	43.47°W	43.47	W
Juiz de Fora	Brazil	523088	21.75°S	21.75	S	43.36°W	43.36	W
Duque de Caxias	Brazil	868923	22.77°S	22.77	S	43.31°W	43.31	W
Rio de Janeiro	Brazil	6397124	22.91°S	22.91	S	43.20°W	43.2	W
Sao Goncalo	Brazil	1019638	22.84°S	22.84	S	43.07°W	43.07	W
Teresina	Brazil	786683	5.10°S	5.1	S	42.80°W	42.8	W
Feira de Santana	Brazil	527208	12.25°S	12.25	S	38.97°W	38.97	W
Fortaleza	Brazil	2516542	3.78°S	3.78	S	38.59°W	38.59	W
Salvador	Brazil	2725342	12.97°S	12.97	S	38.50°W	38.5	W
Aracaju	Brazil	592298	10.91°S	10.91	S	37.07°W	37.07	W
Maceio	Brazil	966470	9.65°S	9.65	S	35.75°W	35.75	W
Natal	Brazil	822474	5.80°S	5.8	S	35.22°W	35.22	W
Jaboatao	Brazil	649170	8.11°S	8.11	S	35.02°W	35.02	W
Recife	Brazil	1558146	8.08°S	8.08	S	34.92°W	34.92	W
Joao Pessoa	Brazil	745258	7.12°S	7.12	S	34.86°W	34.86	W
Dakar	Senegal	2682158	14.72°N	14.72	N	17.48°W	17.48	W
Nouakchott	Mauritania	870073	18.09°N	18.09	N	15.98°W	15.98	W
Conakry	Guinea	2164282	9.55°N	9.55	N	13.67°W	13.67	W
Freetown	Sierra Leone	853651	8.49°N	8.49	N	13.24°W	13.24	W
Monrovia	Liberia	1118264	6.31°N	6.31	N	10.80°W	10.8	W
Agadir	Morocco	600177	30.42°N	30.42	N	9.61°W	9.61	W
Marrakesh	Morocco	953305	31.63°N	31.63	N	8.00°W	8	W
Bamako	Mali	1926748	12.65°N	12.65	N	7.99°W	7.99	W
Casablanca	Morocco	3356337	33.60°N	33.6	N	7.62°W	7.62	W
Rabat	Morocco	1884917	34.02°N	34.02	N	6.84°W	6.84	W
Dublin	Ireland	1079402	53.33°N	53.33	N	6.25°W	6.25	W
Sevilla	Spain	703029	37.40°N	37.4	N	5.98°W	5.98	W
Tanger	Morocco	793776	35.79°N	35.79	N	5.81°W	5.81	W
Meknes	Morocco	616110	33.90°N	33.9	N	5.56°W	5.56	W
Bouake	Ivory Coast	694841	7.69°N	7.69	N	5.03°W	5.03	W
Fez	Morocco	1072468	34.05°N	34.05	N	5.00°W	5	W
Malaga	Spain	571731	36.72°N	36.72	N	4.42°W	4.42	W
