#0name	1country	2population	3latitude	4degrees	5N-S	6longitude	7degrees	8E-W
Bur Sudan	Sudan	585090	19.63°N	19.63	N	37.12°E	37.12	E
Aleppo	Syria	1916853	36.23°N	36.23	N	37.17°E	37.17	E
Gaziantep	Turkey	1512039	37.07°N	37.07	N	37.39°E	37.39	E
Moscow	Russia	10548317	55.75°N	55.75	N	37.62°E	37.62	E
Donetsk	Ukraine	979562	48.00°N	48	N	37.82°E	37.82	E
Addis Abeba	Ethiopia	3480229	9.03°N	9.03	N	38.74°E	38.74	E
Urfa	Turkey	506795	37.17°N	37.17	N	38.79°E	38.79	E
asmara	Eritrea	697013	15.33°N	15.33	N	38.94°E	38.94	E
Krasnodar	Russia	698467	45.03°N	45.03	N	38.98°E	38.98	E
Jiddah	Saudi Arabia	3376802	21.50°N	21.5	N	39.17°E	39.17	E
Zanzibar	Tanzania	539882	6.16°S	6.16	S	39.20°E	39.2	E
Nampula	Mozambique	575587	15.13°S	15.13	S	39.24°E	39.24	E
Voronezh	Russia	840812	51.72°N	51.72	N	39.26°E	39.26	E
Dar es Salaam	Tanzania	3461008	6.82°S	6.82	S	39.28°E	39.28	E
al-Madinah	Saudi Arabia	1166918	24.48°N	24.48	N	39.59°E	39.59	E
Mombasa	Kenya	966413	4.04°S	4.04	S	39.66°E	39.66	E
Rostov-na-Donu	Russia	1039281	47.24°N	47.24	N	39.71°E	39.71	E
Mecca	Saudi Arabia	1547360	21.43°N	21.43	N	39.82°E	39.82	E
Yaroslavl	Russia	590237	57.62°N	57.62	N	39.87°E	39.87	E
Diyarbakır	Turkey	612415	37.92°N	37.92	N	40.23°E	40.23	E
at-Taif	Saudi Arabia	600590	21.26°N	21.26	N	40.38°E	40.38	E
Hamis Musayt	Saudi Arabia	508953	18.31°N	18.31	N	42.73°E	42.73	E
al-Mawsil	Iraq	3036268	36.34°N	36.34	N	43.14°E	43.14	E
Djibouti	Djibouti	513669	11.59°N	11.59	N	43.15°E	43.15	E
Nizhniy Novgorod	Russia	1241800	56.33°N	56.33	N	44.00°E	44	E
Irbil	Iraq	1509026	36.18°N	36.18	N	44.01°E	44.01	E
Karbala	Iraq	537771	32.61°N	32.61	N	44.03°E	44.03	E
Taizz	Yemen	591543	13.60°N	13.6	N	44.04°E	44.04	E
Şana	Yemen	2297973	15.38°N	15.38	N	44.21°E	44.21	E
an-Najaf	Iraq	911916	32.00°N	32	N	44.34°E	44.34	E
Kirkuk	Iraq	890034	35.47°N	35.47	N	44.39°E	44.39	E
al-Hillah	Iraq	573342	32.48°N	32.48	N	44.43°E	44.43	E
Bagdad	Iraq	5505003	33.33°N	33.33	N	44.44°E	44.44	E
Volgograd	Russia	966401	48.71°N	48.71	N	44.48°E	44.48	E
Yerevan	Armenia	1125032	40.17°N	40.17	N	44.52°E	44.52	E
Tbilisi	Georgia	1143295	41.72°N	41.72	N	44.79°E	44.79	E
Orumiyeh	Iran	662734	37.53°N	37.53	N	45.00°E	45	E
Adan	Yemen	737811	12.79°N	12.79	N	45.03°E	45.03	E
Muqdisho	Somalia	1588173	2.05°N	2.05	N	45.33°E	45.33	E
as-Sulaymaniyah	Iraq	901028	35.56°N	35.56	N	45.43°E	45.43	E
Saratov	Russia	818954	51.57°N	51.57	N	46.03°E	46.03	E
Tabriz	Iran	1459755	38.08°N	38.08	N	46.30°E	46.3	E
Riyadh	Saudi Arabia	5156418	24.65°N	24.65	N	46.77°E	46.77	E
Kermanshah	Iran	828313	34.38°N	34.38	N	47.06°E	47.06	E
Antananarivo	Madagascar	1848998	18.89°S	18.89	S	47.51°E	47.51	E
al-Basrah	Iraq	2009767	30.53°N	30.53	N	47.82°E	47.82	E
Ulyanovsk	Russia	593396	54.33°N	54.33	N	48.40°E	48.4	E
Ahvaz	Iran	1068908	31.28°N	31.28	N	48.72°E	48.72	E
Kazan	Russia	1122998	55.75°N	55.75	N	49.13°E	49.13	E
Tolyatti	Russia	710651	53.48°N	53.48	N	49.51°E	49.51	E
Resht	Iran	612516	37.30°N	37.3	N	49.63°E	49.63	E
Baku	Azerbaijan	1173729	40.39°N	40.39	N	49.86°E	49.86	E
ad-Dammam	Saudi Arabia	961808	26.43°N	26.43	N	50.10°E	50.1	E
Samara	Russia	1098466	53.20°N	53.2	N	50.15°E	50.15	E
Qom	Iran	1071503	34.65°N	34.65	N	50.95°E	50.95	E
Karaj	Iran	1657967	35.80°N	35.8	N	50.97°E	50.97	E
Tehran	Iran	8778535	35.67°N	35.67	N	51.43°E	51.43	E
Esfahan	Iran	1755382	32.68°N	32.68	N	51.68°E	51.68	E
Shiraz	Iran	1287423	29.63°N	29.63	N	52.57°E	52.57	E
Izhevsk	Russia	602731	56.85°N	56.85	N	53.23°E	53.23	E
Abu Dhabi	United Arab Emirates	613368	24.48°N	24.48	N	54.37°E	54.37	E
Orenburg	Russia	513946	51.78°N	51.78	N	55.10°E	55.1	E
Dubai	United Arab Emirates	1764702	25.27°N	25.27	N	55.33°E	55.33	E
Sharjah	United Arab Emirates	941424	25.37°N	25.37	N	55.41°E	55.41	E
Ufa	Russia	1011050	54.78°N	54.78	N	56.04°E	56.04	E
Perm	Russia	977691	58.00°N	58	N	56.25°E	56.25	E
Kerman	Iran	573449	30.30°N	30.3	N	57.08°E	57.08	E
Asgabat	Turkmenistan	1003678	37.95°N	37.95	N	58.38°E	58.38	E
Mashhad	Iran	2567243	36.27°N	36.27	N	59.57°E	59.57	E
Yekaterinburg	Russia	1297684	56.85°N	56.85	N	60.60°E	60.6	E
Zahedan	Iran	640031	29.50°N	29.5	N	60.83°E	60.83	E
Chelyabinsk	Russia	1086260	55.15°N	55.15	N	61.43°E	61.43	E
Tyumen	Russia	586435	57.15°N	57.15	N	65.53°E	65.53	E
Karachi	Pakistan	11136886	24.86°N	24.86	N	67.01°E	67.01	E
Quetta	Pakistan	842410	30.21°N	30.21	N	67.02°E	67.02	E
Hyderabad	Pakistan	1391534	25.38°N	25.38	N	68.37°E	68.37	E
Dushanbe	Tajikistan	747705	38.57°N	38.57	N	68.78°E	68.78	E
Kabul	Afghanistan	2998351	34.53°N	34.53	N	69.17°E	69.17	E
Tashkent	Uzbekistan	2197907	41.31°N	41.31	N	69.30°E	69.3	E
Jamnagar	India	566345	22.47°N	22.47	N	70.07°E	70.07	E
Rajkot	India	1606745	22.31°N	22.31	N	70.79°E	70.79	E
Multan	Pakistan	1550046	30.20°N	30.2	N	71.45°E	71.45	E
Peshawar	Pakistan	1303351	34.01°N	34.01	N	71.54°E	71.54	E
Bahawalpur	Pakistan	528678	29.39°N	29.39	N	71.67°E	71.67	E
Bhavnagar	India	640671	21.79°N	21.79	N	72.13°E	72.13	E
Ahmadabad	India	4064518	23.03°N	23.03	N	72.58°E	72.58	E
Sargodha	Pakistan	593463	32.08°N	32.08	N	72.67°E	72.67	E
Bombay	India	14282734	18.96°N	18.96	N	72.82°E	72.82	E
Surat	India	3927101	21.20°N	21.2	N	72.82°E	72.82	E
Mira Bhayandar	India	1397423	19.29°N	19.29	N	72.85°E	72.85	E
Thana	India	1936751	19.20°N	19.2	N	72.97°E	72.97	E
Jodhpur	India	1048939	26.29°N	26.29	N	73.02°E	73.02	E
Rawalpindi	Pakistan	1824983	33.60°N	33.6	N	73.04°E	73.04	E
Bhiwandi	India	925109	19.30°N	19.3	N	73.05°E	73.05	E
Navi Mumbai	India	1533639	19.11°N	19.11	N	73.06°E	73.06	E
Islamabad	Pakistan	1082262	33.72°N	33.72	N	73.06°E	73.06	E
Faisalabad	Pakistan	2600525	31.41°N	31.41	N	73.11°E	73.11	E
Ulhasnagar	India	587636	19.23°N	19.23	N	73.15°E	73.15	E
Kalyan	India	1338643	19.25°N	19.25	N	73.16°E	73.16	E
Vadodara	India	1602424	22.31°N	22.31	N	73.18°E	73.18	E
Bikaner	India	645515	28.03°N	28.03	N	73.32°E	73.32	E
Omsk	Russia	1115250	55.00°N	55	N	73.40°E	73.4	E
Nashik	India	1695920	20.01°N	20.01	N	73.78°E	73.78	E
Pimpri	India	1920898	18.62°N	18.62	N	73.80°E	73.8	E
Pune	India	3663287	18.53°N	18.53	N	73.84°E	73.84	E
Gujranwala	Pakistan	1466063	32.16°N	32.16	N	74.18°E	74.18	E
Kolhapur	India	569445	16.70°N	16.7	N	74.22°E	74.22	E
Lahore	Pakistan	6658393	31.56°N	31.56	N	74.35°E	74.35	E
Sialkot	Pakistan	545646	32.52°N	32.52	N	74.55°E	74.55	E
Sangli-Miraj	India	577103	16.86°N	16.86	N	74.57°E	74.57	E
Biskek	Kyrgyzstan	977204	42.87°N	42.87	N	74.57°E	74.57	E
Ajmer	India	561423	26.45°N	26.45	N	74.64°E	74.64	E
Srinagar	India	1188388	34.09°N	34.09	N	74.79°E	74.79	E
Jammu	India	606923	32.71°N	32.71	N	74.85°E	74.85	E
Amritsar	India	1265766	31.64°N	31.64	N	74.87°E	74.87	E
Hubli	India	945172	15.36°N	15.36	N	75.13°E	75.13	E
Aurangabad	India	1285519	19.89°N	19.89	N	75.32°E	75.32	E
Jalgaon	India	539726	21.01°N	21.01	N	75.56°E	75.56	E
Jalandhar	India	933513	31.33°N	31.33	N	75.57°E	75.57	E
Jaipur	India	3416819	26.92°N	26.92	N	75.80°E	75.8	E
Kota	India	864662	25.18°N	25.18	N	75.83°E	75.83	E
Ludhiana	India	1800830	30.91°N	30.91	N	75.84°E	75.84	E
Indore	India	1972883	22.72°N	22.72	N	75.86°E	75.86	E
Sholapur	India	1198974	17.67°N	17.67	N	75.89°E	75.89	E
Maisuru	India	1127804	12.31°N	12.31	N	76.65°E	76.65	E
Chandigarh	India	971172	30.75°N	30.75	N	76.78°E	76.78	E
Gulbarga	India	586278	17.34°N	17.34	N	76.82°E	76.82	E
Almaty	Kazakhstan	1412866	43.32°N	43.32	N	76.92°E	76.92	E
Thiruvananthapuram	India	835978	8.51°N	8.51	N	76.95°E	76.95	E
Koyampattur	India	1120462	11.01°N	11.01	N	76.96°E	76.96	E
Delhi	India	11279074	28.67°N	28.67	N	77.21°E	77.21	E
Nanded	India	576353	19.17°N	19.17	N	77.29°E	77.29	E
Faridabad	India	1594224	28.38°N	28.38	N	77.30°E	77.3	E
Noida	India	614690	28.58°N	28.58	N	77.33°E	77.33	E
Tiruppur	India	539917	11.09°N	11.09	N	77.35°E	77.35	E
Bhopal	India	1917293	23.24°N	23.24	N	77.40°E	77.4	E
Ghaziabad	India	1702985	28.66°N	28.66	N	77.41°E	77.41	E
Dasarahalli	India	808921	13.01°N	13.01	N	77.49°E	77.49	E
Saharanpur	India	537242	29.97°N	29.97	N	77.54°E	77.54	E
Bangalore	India	6386490	12.97°N	12.97	N	77.56°E	77.56	E
Tirunelveli	India	517150	8.73°N	8.73	N	77.69°E	77.69	E
Mirat	India	1456406	28.99°N	28.99	N	77.70°E	77.7	E
Amravati	India	682687	20.95°N	20.95	N	77.76°E	77.76	E
Agra	India	1769814	27.19°N	27.19	N	78.01°E	78.01	E
Dehra Dun	India	628922	30.34°N	30.34	N	78.05°E	78.05	E
Aligarh	India	910237	27.89°N	27.89	N	78.06°E	78.06	E
Madurai	India	946032	9.92°N	9.92	N	78.12°E	78.12	E
Salem	India	1021893	11.67°N	11.67	N	78.16°E	78.16	E
Gwalior	India	965851	26.23°N	26.23	N	78.17°E	78.17	E
Qutubullapur	India	510411	17.43°N	17.43	N	78.47°E	78.47	E
Hyderabad	India	3912815	17.40°N	17.4	N	78.48°E	78.48	E
Tiruchchirappalli	India	899985	10.81°N	10.81	N	78.69°E	78.69	E
Moradabad	India	866725	28.84°N	28.84	N	78.76°E	78.76	E
Nagpur	India	2469427	21.16°N	21.16	N	79.08°E	79.08	E
Bareli	India	853542	28.36°N	28.36	N	79.41°E	79.41	E
Warangal	India	603275	18.01°N	18.01	N	79.58°E	79.58	E
Colombo	Sri Lanka	752933	6.93°N	6.93	N	79.85°E	79.85	E
Jabalpur	India	1112215	23.17°N	23.17	N	79.94°E	79.94	E
Aksu	China	534750	41.15°N	41.15	N	80.25°E	80.25	E
Madras	India	4703195	13.09°N	13.09	N	80.27°E	80.27	E
Kanpur	India	3234385	26.47°N	26.47	N	80.33°E	80.33	E
Guntur	India	545191	16.31°N	16.31	N	80.44°E	80.44	E
Vijayawada	India	1005452	16.52°N	16.52	N	80.63°E	80.63	E
Lakhnau	India	2874489	26.85°N	26.85	N	80.92°E	80.92	E
Bhilai	India	823140	21.21°N	21.21	N	81.38°E	81.38	E
Raipur	India	895619	21.24°N	21.24	N	81.63°E	81.63	E
Allahabad	India	1164810	25.45°N	25.45	N	81.84°E	81.84	E
Korba	India	583338	22.35°N	22.35	N	82.69°E	82.69	E
Novosibirsk	Russia	1359189	55.04°N	55.04	N	82.93°E	82.93	E
Varanasi	India	1220081	25.32°N	25.32	N	83.01°E	83.01	E
Visakhapatnam	India	1073517	17.73°N	17.73	N	83.30°E	83.3	E
Gorakhpur	India	743677	26.76°N	26.76	N	83.36°E	83.36	E
Barnaul	Russia	585263	53.36°N	53.36	N	83.75°E	83.75	E
Gaya	India	510253	24.81°N	24.81	N	85.00°E	85	E
Patna	India	2021498	25.62°N	25.62	N	85.13°E	85.13	E
Kathmandu	Nepal	997911	27.71°N	27.71	N	85.31°E	85.31	E
Ranchi	India	1162025	23.36°N	23.36	N	85.33°E	85.33	E
Bhubaneswar	India	1003786	20.27°N	20.27	N	85.84°E	85.84	E
Kataka	India	706323	20.47°N	20.47	N	85.88°E	85.88	E
Shihezi	China	643989	44.30°N	44.3	N	86.03°E	86.03	E
Kemerovo	Russia	507491	55.33°N	55.33	N	86.08°E	86.08	E
Jamshedpur	India	718239	22.79°N	22.79	N	86.20°E	86.2	E
Novokuznetsk	Russia	556216	53.75°N	53.75	N	87.10°E	87.1	E
Durgapur	India	557603	23.50°N	23.5	N	87.31°E	87.31	E
Urumqi	China	1740868	43.80°N	43.8	N	87.58°E	87.58	E
Maheshtala	India	531440	22.51°N	22.51	N	88.23°E	88.23	E
Haora	India	1032509	22.58°N	22.58	N	88.33°E	88.33	E
Calcutta	India	4467821	22.57°N	22.57	N	88.36°E	88.36	E
South Dum Dum	India	557145	22.61°N	22.61	N	88.41°E	88.41	E
Bhatpara	India	556870	22.89°N	22.89	N	88.42°E	88.42	E
Shiliguri	India	603940	26.73°N	26.73	N	88.42°E	88.42	E
Rajpur	India	759482	22.44°N	22.44	N	88.44°E	88.44	E
Rajshahi	Bangladesh	842701	24.37°N	24.37	N	88.59°E	88.59	E
Khulna	Bangladesh	1490835	22.84°N	22.84	N	89.56°E	89.56	E
Dhaka	Bangladesh	11664093	23.70°N	23.7	N	90.39°E	90.39	E
Narayanganj	Bangladesh	1572386	23.62°N	23.62	N	90.50°E	90.5	E
Guwahati	India	1071905	26.19°N	26.19	N	91.75°E	91.75	E
Chattagam	Bangladesh	4079862	22.33°N	22.33	N	91.81°E	91.81	E
Krasnoyarsk	Russia	935702	56.02°N	56.02	N	93.06°E	93.06	E
Mandalay	Myanmar	1620758	21.98°N	21.98	N	96.09°E	96.09	E
Rangoon	Myanmar	4948920	16.79°N	16.79	N	96.15°E	96.15	E
Mawlamyine	Myanmar	542017	16.49°N	16.49	N	97.63°E	97.63	E
Medan	Indonesia	2162805	3.59°N	3.59	N	98.67°E	98.67	E
Padang	Indonesia	821650	0.95°S	0.95	S	100.35°E	100.35	E
Bangkok	Thailand	5896693	13.73°N	13.73	N	100.50°E	100.5	E
Pekan Baru	Indonesia	966826	0.56°N	0.56	N	101.43°E	101.43	E
Kuala Lumpur	Malaysia	1634996	3.16°N	3.16	N	101.71°E	101.71	E
Xining	China	867510	36.62°N	36.62	N	101.77°E	101.77	E
Kunming	China	1122666	25.05°N	25.05	N	102.70°E	102.7	E
Jambi	Indonesia	544205	1.59°S	1.59	S	103.61°E	103.61	E
Lanzhou	China	1401323	36.05°N	36.05	N	103.68°E	103.68	E
Singapore	Singapore	6096539	1.30°N	1.3	N	103.85°E	103.85	E
Batam	Indonesia	1067381	1.03°N	1.03	N	103.92°E	103.92	E
Chengdu	China	3778398	30.67°N	30.67	N	104.07°E	104.07	E
Irkutsk	Russia	556379	52.33°N	52.33	N	104.24°E	104.24	E
Palembang	Indonesia	1482718	2.99°S	2.99	S	104.75°E	104.75	E
Zigong	China	659914	29.40°N	29.4	N	104.78°E	104.78	E
Phnum Penh	Cambodia	1372373	11.57°N	11.57	N	104.92°E	104.92	E
Neijiang	China	523039	29.58°N	29.58	N	105.05°E	105.05	E
Bandar Lampung	Indonesia	916653	5.44°S	5.44	S	105.27°E	105.27	E
Hà Nội	Vietnam	1514304	21.03°N	21.03	N	105.84°E	105.84	E
Serang	Indonesia	507461	6.11°S	6.11	S	106.15°E	106.15	E
Yinchuan	China	510379	38.47°N	38.47	N	106.32°E	106.32	E
Chongqing	China	4543433	29.57°N	29.57	N	106.58°E	106.58	E
Tangerang	Indonesia	1920415	6.18°S	6.18	S	106.63°E	106.63	E
Hai Phong	Vietnam	651057	20.86°N	20.86	N	106.68°E	106.68	E
Ho Chi Minh City	Vietnam	3982344	10.78°N	10.78	N	106.69°E	106.69	E
Guiyang	China	1146099	26.58°N	26.58	N	106.72°E	106.72	E
Bogor	Indonesia	1003533	6.58°S	6.58	S	106.79°E	106.79	E
Depok	Indonesia	1935876	6.39°S	6.39	S	106.83°E	106.83	E
Jakarta	Indonesia	9751937	6.18°S	6.18	S	106.83°E	106.83	E
Ulaanbaatar	Mongolia	885140	47.93°N	47.93	N	106.91°E	106.91	E
Zunyi	China	560103	27.70°N	27.7	N	106.92°E	106.92	E
Bekasi	Indonesia	2581539	6.22°S	6.22	S	106.97°E	106.97	E
Pacet	Indonesia	556755	6.75°S	6.75	S	107.05°E	107.05	E
Tambun	Indonesia	529202	6.27°S	6.27	S	107.05°E	107.05	E
Cimahi	Indonesia	574700	6.83°S	6.83	S	107.48°E	107.48	E
Bandung	Indonesia	2488390	6.91°S	6.91	S	107.60°E	107.6	E
Tasikmalaya	Indonesia	645806	7.32°S	7.32	S	108.21°E	108.21	E
Nanning	China	837364	22.82°N	22.82	N	108.32°E	108.32	E
Xianyang	China	1166762	34.37°N	34.37	N	108.70°E	108.7	E
Xian	China	4921992	34.27°N	34.27	N	108.90°E	108.9	E
Liuzhou	China	848778	24.28°N	24.28	N	109.25°E	109.25	E
Pontianak	Indonesia	576752	0.02°S	0.02	S	109.34°E	109.34	E
Baotou	China	1404452	40.60°N	40.6	N	110.05°E	110.05	E
Guilin	China	826643	25.28°N	25.28	N	110.28°E	110.28	E
Haikou	China	724978	20.05°N	20.05	N	110.32°E	110.32	E
Zhanjiang	China	730173	21.20°N	21.2	N	110.38°E	110.38	E
Semarang	Indonesia	1555856	6.97°S	6.97	S	110.42°E	110.42	E
Maoming	China	721381	21.92°N	21.92	N	110.87°E	110.87	E
Sanmenxia	China	563348	34.83°N	34.83	N	111.08°E	111.08	E
Shaoyang	China	710179	27.00°N	27	N	111.20°E	111.2	E
Hohhot	China	817529	40.82°N	40.82	N	111.64°E	111.64	E
Changde	China	658687	29.03°N	29.03	N	111.68°E	111.68	E
Changzhi	China	744768	35.22°N	35.22	N	111.75°E	111.75	E
Shashi	China	545583	30.32°N	30.32	N	112.23°E	112.23	E
Luoyang	China	1403419	34.68°N	34.68	N	112.47°E	112.47	E
Taiyuan	China	2852454	37.87°N	37.87	N	112.55°E	112.55	E
Malang	Indonesia	833516	7.98°S	7.98	S	112.62°E	112.62	E
Hengyang	China	778866	26.89°N	26.89	N	112.62°E	112.62	E
Surabaya	Indonesia	2814867	7.24°S	7.24	S	112.74°E	112.74	E
Xiangtan	China	691286	27.85°N	27.85	N	112.90°E	112.9	E
Changsha	China	2519735	28.20°N	28.2	N	112.97°E	112.97	E
Jiangmen	China	642299	22.58°N	22.58	N	113.08°E	113.08	E
Yueyang	China	541534	29.38°N	29.38	N	113.10°E	113.1	E
Foshan	China	854052	23.03°N	23.03	N	113.12°E	113.12	E
Zhuzhou	China	727347	27.83°N	27.83	N	113.15°E	113.15	E
Jiaozuo	China	565015	35.25°N	35.25	N	113.22°E	113.22	E
Guangzhou	China	2918261	23.12°N	23.12	N	113.25°E	113.25	E
Pingdingshan	China	897889	33.73°N	33.73	N	113.30°E	113.3	E
Datong	China	1082379	40.08°N	40.08	N	113.30°E	113.3	E
Aomen	China	558337	22.27°N	22.27	N	113.56°E	113.56	E
Zhuhai	China	547948	22.28°N	22.28	N	113.57°E	113.57	E
Shaoguan	China	781683	24.80°N	24.8	N	113.58°E	113.58	E
Zhengzhou	China	2032719	34.75°N	34.75	N	113.67°E	113.67	E
Xuchang	China	612305	34.02°N	34.02	N	113.82°E	113.82	E
Xinxiang	China	750466	35.32°N	35.32	N	113.87°E	113.87	E
Zhunmen	China	526384	22.41°N	22.41	N	113.98°E	113.98	E
Yuanlong	China	736581	22.44°N	22.44	N	114.02°E	114.02	E
Luohe	China	564812	33.57°N	33.57	N	114.03°E	114.03	E
Xinyang	China	2305231	32.13°N	32.13	N	114.07°E	114.07	E
Shiongshui	China	610654	22.52°N	22.52	N	114.12°E	114.12	E
Shenzhen	China	1474133	22.53°N	22.53	N	114.13°E	114.13	E
Xianggangdao	China	1250270	22.27°N	22.27	N	114.14°E	114.14	E
Jiulong	China	1815548	22.32°N	22.32	N	114.17°E	114.17	E
Shatian	China	682368	22.38°N	22.38	N	114.19°E	114.19	E
Xigong	China	607200	22.33°N	22.33	N	114.25°E	114.25	E
Wuhan	China	4000282	30.58°N	30.58	N	114.27°E	114.27	E
Kaifeng	China	594274	34.85°N	34.85	N	114.35°E	114.35	E
Anyang	China	838779	36.08°N	36.08	N	114.35°E	114.35	E
Handan	China	1420730	36.58°N	36.58	N	114.48°E	114.48	E
Shijiazhuang	China	2655014	38.05°N	38.05	N	114.48°E	114.48	E
Xingtai	China	826383	37.07°N	37.07	N	114.49°E	114.49	E
Banjarmasin	Indonesia	628501	3.33°S	3.33	S	114.59°E	114.59	E
Luancheng	China	624566	37.88°N	37.88	N	114.65°E	114.65	E
Zhangjiakou	China	950760	40.83°N	40.83	N	114.93°E	114.93	E
Puyang	China	898571	35.70°N	35.7	N	114.98°E	114.98	E
Xuanhua	China	529677	40.60°N	40.6	N	115.03°E	115.03	E
Huangshi	China	662702	30.22°N	30.22	N	115.10°E	115.1	E
Denpasar	Indonesia	878894	8.65°S	8.65	S	115.22°E	115.22	E
Baoding	China	1227298	38.87°N	38.87	N	115.48°E	115.48	E
Hengshui	China	514937	37.72°N	37.72	N	115.70°E	115.7	E
Perth	Australia	1349373	31.96°S	31.96	S	115.84°E	115.84	E
Nanchang	China	2500776	28.68°N	28.68	N	115.88°E	115.88	E
Dezhou	China	520705	37.45°N	37.45	N	116.30°E	116.3	E
Rongcheng	China	1755437	23.54°N	23.54	N	116.34°E	116.34	E
Peking	China	10189875	39.93°N	39.93	N	116.40°E	116.4	E
Jining	China	567270	35.40°N	35.4	N	116.55°E	116.55	E
Chaozhou	China	535503	23.67°N	23.67	N	116.64°E	116.64	E
Shantou	China	1485554	23.37°N	23.37	N	116.67°E	116.67	E
Langfang	China	753206	39.52°N	39.52	N	116.68°E	116.68	E
Huaibei	China	1021845	33.95°N	33.95	N	116.75°E	116.75	E
Balikpapan	Indonesia	552144	1.26°S	1.26	S	116.83°E	116.83	E
Cangzhou	China	651089	38.32°N	38.32	N	116.87°E	116.87	E
Huainan	China	1283335	32.63°N	32.63	N	116.98°E	116.98	E
Jinan	China	2369576	36.67°N	36.67	N	117.00°E	117	E
Taian	China	1052401	36.20°N	36.2	N	117.12°E	117.12	E
Samarinda	Indonesia	762425	0.50°S	0.5	S	117.15°E	117.15	E
Xuzhou	China	1469307	34.27°N	34.27	N	117.18°E	117.18	E
Tianjin	China	4572002	39.13°N	39.13	N	117.20°E	117.2	E
Hefei	China	1374027	31.85°N	31.85	N	117.28°E	117.28	E
Bengbu	China	577287	32.95°N	32.95	N	117.33°E	117.33	E
Zhangzhou	China	732573	24.52°N	24.52	N	117.67°E	117.67	E
Tanggu	China	793086	39.00°N	39	N	117.67°E	117.67	E
Zhangdian	China	698412	36.80°N	36.8	N	118.06°E	118.06	E
Xiamen	China	668046	24.45°N	24.45	N	118.08°E	118.08	E
Tangshan	China	1670325	39.62°N	39.62	N	118.19°E	118.19	E
Sucheng	China	543666	33.95°N	33.95	N	118.29°E	118.29	E
Maanshan	China	524783	31.73°N	31.73	N	118.48°E	118.48	E
Nanjing	China	3703851	32.05°N	32.05	N	118.78°E	118.78	E
Huaiyin	China	587795	33.58°N	33.58	N	119.03°E	119.03	E
Xinpu	China	564749	34.60°N	34.6	N	119.17°E	119.17	E
Fuzhou	China	1313954	26.08°N	26.08	N	119.30°E	119.3	E
Makasar	Indonesia	1361004	5.14°S	5.14	S	119.41°E	119.41	E
Zhenjiang	China	669652	32.22°N	32.22	N	119.43°E	119.43	E
Yangzhou	China	571371	32.40°N	32.4	N	119.43°E	119.43	E
Qinhuangdao	China	880051	39.93°N	39.93	N	119.62°E	119.62	E
Taizhou	China	648272	32.49°N	32.49	N	119.90°E	119.9	E
Changzhou	China	1076089	31.78°N	31.78	N	119.97°E	119.97	E
Yancheng	China	665301	33.39°N	33.39	N	120.12°E	120.12	E
Hangzhou	China	2188307	30.25°N	30.25	N	120.17°E	120.17	E
Tainan	Taiwan	788008	23.00°N	23	N	120.19°E	120.19	E
Gaoxiong	Taiwan	1535796	22.63°N	22.63	N	120.27°E	120.27	E
Wuxi	China	1369669	31.58°N	31.58	N	120.30°E	120.3	E
Qingdao	China	1833024	36.07°N	36.07	N	120.32°E	120.32	E
Chaoyang	China	565288	41.55°N	41.55	N	120.42°E	120.42	E
Shaoxing	China	664554	30.00°N	30	N	120.57°E	120.57	E
Suzhou	China	1816452	31.30°N	31.3	N	120.62°E	120.62	E
Wenzhou	China	1008641	28.02°N	28.02	N	120.65°E	120.65	E
Taizhong	Taiwan	1110070	24.15°N	24.15	N	120.68°E	120.68	E
Jiaxing	China	543079	30.77°N	30.77	N	120.75°E	120.75	E
Nantong	China	705328	32.02°N	32.02	N	120.82°E	120.82	E
San Jose del Monte	Philippines	533848	14.80°N	14.8	N	120.88°E	120.88	E
Bacoor	Philippines	554686	14.46°N	14.46	N	120.93°E	120.93	E
Dasmariñas	Philippines	713595	14.33°N	14.33	N	120.94°E	120.94	E
Manila	Philippines	12603783	14.60°N	14.6	N	120.98°E	120.98	E
Jinzhou	China	607143	41.12°N	41.12	N	121.10°E	121.1	E
Antipolo	Philippines	765260	14.63°N	14.63	N	121.12°E	121.12	E
Yantai	China	878981	37.53°N	37.53	N	121.40°E	121.4	E
Banqiao	Taiwan	549088	25.02°N	25.02	N	121.44°E	121.44	E
Taiběi	Taiwan	2654422	25.02°N	25.02	N	121.45°E	121.45	E
Jiaojiang	China	549237	28.68°N	28.68	N	121.45°E	121.45	E
Shanghai	China	21397715	31.23°N	31.23	N	121.47°E	121.47	E
Ningbo	China	838755	29.88°N	29.88	N	121.55°E	121.55	E
Dalian	China	2361283	38.92°N	38.92	N	121.65°E	121.65	E
Fuxin	China	739336	42.01°N	42.01	N	121.65°E	121.65	E
Panjin	China	741823	41.18°N	41.18	N	122.05°E	122.05	E
Zamboanga	Philippines	722308	6.91°N	6.91	N	122.07°E	122.07	E
Yingkou	China	664703	40.67°N	40.67	N	122.28°E	122.28	E
Bacolod	Philippines	546850	10.67°N	10.67	N	122.95°E	122.95	E
Anshan	China	1242349	41.12°N	41.12	N	122.95°E	122.95	E
Liaoyang	China	799348	41.28°N	41.28	N	123.18°E	123.18	E
Shenyang	China	3734577	41.80°N	41.8	N	123.45°E	123.45	E
Cebu	Philippines	818924	10.32°N	10.32	N	123.75°E	123.75	E
Benxi	China	1174231	41.33°N	41.33	N	123.75°E	123.75	E
